Pin Total Set (dBm); Pin Total OSA (dBm); Ganho Total Set (dB); Ganho Total OSA (dB); Pout Total Esperada (dBm); Pout Total OSA (dBm); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Freq. Canal (Hz); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pin Canal (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Pout Cana (dBm); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); Ganho Canal (dB); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); P_ASE Gerada Canal (dBm); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB); NF Canal (dB)
-28;-28;20;19.84;-8;-8.16;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.91E+14;;;;;;;;;;;;;;;;;;;;;;-34.24;;;;;;-38.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.66;;;;;;-21.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.58;;;;;;16.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36.5549741;;;;;;-36.67476687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.839878342;4.839878342;;;;;;4.748585464;;;;;;;;;;;;
-27;-27.01;19;18.88;-8;-8.13;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.91E+14;;;;;;;;;;;;;;;;;;;;;;-33.25;;;;;;-37.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.24;;;;;;-21.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.01;;;;;;16.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36.87971218;;;;;;-37.04499712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.075760097;5.075760097;;;;;;4.915299932;;;;;;;;;;;;
-26;-26;18;17.9;-8;-8.1;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.91E+14;;;;;;;;;;;;;;;;;;;;;;-32.24;;;;;;-36.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.19;;;;;;-21.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.05;;;;;;15.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36.89989638;;;;;;-37.06998849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.01476499;6.01476499;;;;;;5.879133761;;;;;;;;;;;;
-25;-24.91;17;16.79;-8;-8.12;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.91E+14;;;;;;;;;;;;;;;;;;;;;;-31.15;;;;;;-35.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.22;;;;;;-21.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.93;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36.92465174;;;;;;-37.03998849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.110069823;7.110069823;;;;;;7.030212702;;;;;;;;;;;;
-24;-24.05;16;15.98;-8;-8.07;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.91E+14;;;;;;;;;;;;;;;;;;;;;;-30.29;;;;;;-34.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.16;;;;;;-20.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.13;;;;;;13.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36.9149741;;;;;;-37.00998849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.919336597;7.919336597;;;;;;7.849327539;;;;;;;;;;;;
-23;-23.05;15;14.96;-8;-8.09;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.91E+14;;;;;;;;;;;;;;;;;;;;;;-29.29;;;;;;-33.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.17;;;;;;-21.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.12;;;;;;12.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36.8898158;;;;;;-37.03995395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.954731914;8.954731914;;;;;;8.839592757;;;;;;;;;;;;
-22;-21.98;14;13.96;-8;-8.02;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.91E+14;;;;;;;;;;;;;;;;;;;;;;-28.22;;;;;;-32.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.05;;;;;;-20.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.17;;;;;;11.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36.89989638;;;;;;-37.02492804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.893345971;9.893345971;;;;;;9.822100461;;;;;;;;;;;;
-21;-21.05;13;12.9;-8;-8.15;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.91E+14;;;;;;;;;;;;;;;;;;;;;;-27.29;;;;;;-31.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.27;;;;;;-21.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.02;;;;;;10.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36.91485897;;;;;;-37.06499712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.03071744;11.03071744;;;;;;10.9161911;;;;;;;;;;;;
-20;-20.13;12;12.08;-8;-8.05;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.91E+14;;;;;;;;;;;;;;;;;;;;;;-26.37;;;;;;-30.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.12;;;;;;-20.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.25;;;;;;9.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36.87989638;;;;;;-37.0249741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.8341944;11.8341944;;;;;;11.73359604;;;;;;;;;;;;
-19;-19.13;11;11.02;-8;-8.11;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.96E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.95E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.94E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.93E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.92E+14;1.91E+14;;;;;;;;;;;;;;;;;;;;;;-25.37;;;;;;-29.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.2;;;;;;-21.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.17;;;;;;8.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36.90476687;;;;;;-37.0649741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.88995338;12.88995338;;;;;;12.75444197;;;;;;;;;;;;
